Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,8.18,8.08,8.14,8.12,6863387,8.12
2019-01-03,8.2,8.05,8.12,8.13,9087901,8.13
2019-01-04,8.34,7.97,8.05,8.34,18060406,8.34
2019-01-07,8.6,8.28,8.05,8.55,22791901,8.55
2019-01-08,8.52,8.34,8.5,8.4,15181853,8.4
2019-01-09,9.24,8.37,8.43,9.24,73427340,9.24
2019-01-10,9.47,9.06,9.1,9.1,76368904,9.1
2019-01-11,9.14,8.87,9.05,8.95,39546160,8.95
2019-01-14,8.95,8.72,8.88,8.85,27570930,8.85
2019-01-15,9.16,8.8,8.8,9.12,42541751,9.12
2019-01-16,9.23,8.92,9.06,8.96,30280447,8.96
2019-01-17,9.11,8.85,8.91,8.88,20445666,8.88
2019-01-18,9.39,8.89,9.0,9.11,40284232,9.11
2019-01-21,9.35,8.98,9.12,9.24,41188639,9.24
2019-01-22,9.17,8.9,9.15,8.98,24677209,8.98
2019-01-23,8.99,8.82,8.9,8.9,16463170,8.9
2019-01-24,8.9,8.9,8.9,8.9,0,8.9
2019-01-25,10.55,9.73,10.0,10.0,135456952,10.0
2019-01-28,10.68,9.84,10.05,10.31,95399292,10.31
2019-01-29,10.38,9.9,10.14,10.14,72154000,10.14
2019-01-30,10.35,9.77,10.03,9.93,54091636,9.93
2019-01-31,10.18,9.7,10.05,9.86,49845925,9.86
2019-02-01,10.56,9.85,9.96,10.47,71107555,10.47
2019-02-11,10.84,10.3,10.32,10.79,70740401,10.79
2019-02-12,10.86,10.47,10.6,10.63,70038206,10.63
2019-02-13,11.28,10.59,10.67,11.02,88739166,11.02
2019-02-14,11.08,10.8,10.9,10.99,59034103,10.99
2019-02-15,11.32,10.88,10.94,10.88,61617189,10.88
2019-02-18,11.38,10.73,10.93,11.27,81689467,11.27
2019-02-19,11.37,10.92,11.24,11.05,71220289,11.05
2019-02-20,10.98,10.66,10.98,10.84,53396884,10.84
2019-02-21,11.18,10.65,10.8,10.74,73434251,10.74
2019-02-22,11.05,10.61,10.66,11.04,55117048,11.04
2019-02-25,11.81,11.11,11.38,11.7,100224229,11.7
2019-02-26,11.88,11.18,11.75,11.34,87707063,11.34
2019-02-27,11.6,11.02,11.3,11.2,52272762,11.2
2019-02-28,11.34,11.1,11.22,11.25,33629279,11.25
2019-03-01,11.35,10.96,11.32,11.2,36658552,11.2
2019-03-04,11.79,11.35,11.77,11.47,84963843,11.47
2019-03-05,11.47,11.47,11.47,11.47,0,11.47
2019-03-06,13.18,12.46,13.0,12.67,129995146,12.67
2019-03-07,13.05,12.35,12.41,12.78,96793935,12.78
2019-03-08,14.06,12.83,12.83,14.06,120982258,14.06
2019-03-11,15.47,14.11,15.47,14.49,213189532,14.49
2019-03-12,15.94,14.25,14.69,15.94,192026680,15.94
2019-03-13,17.53,16.19,16.4,16.93,279535344,16.93
2019-03-14,16.93,16.93,16.93,16.93,0,16.93
2019-03-15,15.79,14.44,14.99,14.73,151011032,14.73
2019-03-18,15.36,13.91,14.49,15.09,128275899,15.09
2019-03-19,15.92,14.77,15.0,15.16,118581804,15.16
2019-03-20,15.4,14.31,15.08,14.8,104573559,14.8
2019-03-21,16.26,14.61,14.76,15.48,176165273,15.48
2019-03-22,16.2,15.32,15.48,15.58,126117740,15.58
2019-03-25,17.08,14.9,15.05,16.5,148520787,16.5
2019-03-26,18.0,15.9,16.4,16.74,192471893,16.74
2019-03-27,16.74,16.74,16.74,16.74,0,16.74
2019-03-28,20.25,16.68,19.53,16.7,308273984,16.7
2019-03-29,17.07,15.5,16.43,16.41,200931810,16.41
2019-04-01,17.79,16.2,16.3,17.56,174009685,17.56
2019-04-02,18.6,17.3,17.59,17.41,185769306,17.41
2019-04-03,17.79,16.84,16.99,17.35,109052130,17.35
2019-04-04,17.84,17.16,17.7,17.27,92703782,17.27
2019-04-08,17.19,16.4,17.18,16.65,99252278,16.65
2019-04-09,17.05,16.35,16.62,16.71,74559162,16.71
2019-04-10,16.95,16.01,16.46,16.62,89083541,16.62
2019-04-11,16.7,15.72,16.7,15.75,79408557,15.75
2019-04-12,16.09,15.7,15.7,15.89,43400261,15.89
2019-04-15,16.64,15.89,16.15,15.98,63266168,15.98
2019-04-16,17.52,15.6,15.76,17.52,130235404,17.52
2019-04-17,17.72,16.88,17.14,16.97,108263415,16.97
2019-04-18,17.57,16.87,17.06,17.11,84389687,17.11
2019-04-19,17.38,16.65,16.93,17.01,63241035,17.01
2019-04-22,18.28,16.69,17.03,17.78,151168657,17.78
2019-04-23,17.95,16.81,17.51,17.12,104038117,17.12
2019-04-24,17.84,16.5,16.91,17.4,109365800,17.4
2019-04-25,17.29,15.66,17.1,15.93,94633827,15.93
2019-04-26,16.28,15.7,15.79,15.79,52594142,15.79
2019-05-06,14.1,13.1,13.86,13.1,57934061,13.1
2019-05-07,13.45,12.66,13.19,13.45,63953177,13.45
2019-05-08,14.55,12.88,13.01,13.8,90653493,13.8
2019-05-09,14.36,13.8,13.92,13.8,72616741,13.8
2019-05-10,15.18,13.61,13.9,15.18,81537344,15.18
2019-05-13,16.39,15.3,15.5,15.87,144787767,15.87
2019-05-14,16.65,15.59,15.71,16.08,124570854,16.08
2019-05-15,16.42,15.75,16.17,16.29,100559853,16.29
2019-05-16,16.45,15.85,16.02,16.05,79308691,16.05
2019-05-17,17.3,16.22,16.72,16.37,154125765,16.37
2019-05-20,17.85,16.81,17.17,17.17,156928984,17.17
2019-05-21,16.97,16.02,16.55,16.65,118443060,16.65
2019-05-22,17.4,16.53,16.64,17.33,122102080,17.33
2019-05-23,17.84,16.85,17.2,16.93,137264603,16.93
2019-05-24,16.8,15.7,16.56,15.78,98464359,15.78
2019-05-27,17.36,15.63,15.63,17.36,120995131,17.36
2019-05-28,17.87,17.04,17.8,17.44,162459798,17.44
2019-05-29,18.28,17.13,17.2,17.9,159221508,17.9
2019-05-30,17.51,16.5,17.51,17.18,110669131,17.18
2019-05-31,17.66,16.89,17.06,17.15,81069272,17.15
2019-06-03,17.5,16.6,17.34,16.97,74335435,16.97
2019-06-04,17.18,16.41,16.8,16.56,66686147,16.56
2019-06-05,16.97,16.41,16.82,16.66,28878779,16.66
